Onglet;Domaine;Sous Domaine;Indicateur;Champs;Formule;
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les femmes;Ouvrier;Nombre [matricule] par [structure] dont [Sexe] est 'femme' et [CSP] est 'Ouvrier' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les femmes;Technicien;Nombre [matricule] par [structure] dont [Sexe] est 'femme' et [CSP] est 'Technicien' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Cadre;Nombre [matricule] par [structure] dont [Nationalité] est 'Francaise' et [CSP] est 'Cadre' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Agent de Maitrise ;Nombre [matricule] par [structure] dont [Nationalité] est 'Francaise' et [CSP] est 'Agent de maitrise' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Employé;Nombre [matricule] par [structure] dont [Nationalité] est 'Francaise' et [CSP] est 'employé' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Ouvrier;Nombre [matricule] par [structure] dont [Nationalité] est 'Francaise' et [CSP] est 'Ouvrier' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Technicien;Nombre [matricule] par [structure] dont [Nationalité] est 'Francaise' et [CSP] est 'Technicien' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Cadre;Nombre [matricule] par [structure] dont [Nationalité] est 'Autre' et [CSP] est 'Cadre'  et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Agent de Maitrise ;Nombre [matricule] par [structure] dont [Nationalité] est 'Autre' et [CSP] est 'Agent de maitrise' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Employé;Nombre [matricule] par [structure] dont [Nationalité] est 'Autre' et [CSP] est 'employé' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Ouvrier;Nombre [matricule] par [structure] dont [Nationalité] est 'Autre' et [CSP] est 'Ouvrier' et année[Date de sortie] dans ('reference','null')
Effectifs;Evolution des effectifs;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Technicien;Nombre [matricule] par [structure] dont [Nationalité] est 'Autre' et [CSP] est 'Technicien' et année[Date de sortie] dans ('reference','null')
